product_id,product_name,section_id,stock,price,photo,tags,supabase_id,detail
1,pollo Mr. Pollo,1,10,3.5,mrpollo.png,"[""pollo"",""mr.pollo"",""mr pollo"",""proteina""]",,Pollo Mr.pollo de peso promedio 2.5KG
2,lechuga crespa,2,30,0.5,lechuga_crespa.png,"[""lechuga"",""crespa"",""fresco"",""verduras""]",,Lechuga crespa 200g
3,lavavajilla neutro,3,5,1,lavavajillas_neutro.png,"[""lavavajillas"",""neutro"",""megamaxi""]",,lavavajillas neutro 650ML
6,pañolini,4,25,10,pañolini.png,"[""pañolini"",""pañal"",""pañales"",""medi city""]",,Pañal pañolini
8,cepillo dental colgate,5,55,0.5,cepillo_colgate.png,"[""cepillo"",""colgate"",""megamaxi""]",,"Cepillo dental colgate, una unidad"
5,Refrigeradora Ri-395 Indurama,10,10,762.1,https://statics.tipti.market/product-media/54977d55-452a-41cd-8b23-30074e4937c3.jpg,"[""Indurama"",""cocina"",""refrigerador"",""modelo RI-395 CD QUA"",""capacidad 12 pies cúbicos"",""2 puertas"",""color cromo"",""luz interior"",""3 estantes de vidrio templado"",""portahuevos"",""control de temperatura analógico"",""dispensador de agua"",""dispensador de hielo"",""días calurosos""]",716b952c-1cb2-4d18-81fc-d914592a4221,"Indurama tiene todo lo que necesitas para tu cocina, hoy con su modelo de refrigerador RI- 395 CD QUA, la cual cuenta con una capacidad de 12 pies cúbicos, cuenta con un diseño de 2 puertas en color croma, además posee luz interior, 3 estantes de vidrio templado, portahuevos y control de temperatura analógico, posee también dispensador de agua y hielo en puerta para esos días calurosos"
7,maga orgánica,2,1,7,maga_organica.png,"[""maga organica"",""maga"",""organica"",""suplemento"",""megamaxi""]",,"Maga orgánica "
9,chancho Mr. Chancho,1,4,9,mrchancho.png,"[""chancho"",""cerdo"",""mr.chancho"",""megamaxi""]",,Chancho Mr. Chancho
10,"VASAGLE Mesa de Barra, con 2 Taburetes de Barra, Mesa de Desayuno y Sillas, Mostrador de Cocina con Sillas, para Cocina, Sala, Salón, Sala de Fiestas, Industrial, Marrón Rústico LBT15X ",10,20,101.7,https://m.media-amazon.com/images/I/71a8QTh8P9L._AC_SL1500_.jpg,"[""juego"",""unidades exigentes"",""mesa de bar"",""taburetes de bar"",""acabado marrón rústico"",""alta calidad"",""cocina"",""sala de juegos"",""sala de estar"",""marco de hierro negro"",""reposapiés"",""desayuno para dos"",""superficie de 120 x 60 cm"",""rollos"",""fiambres"",""zumo de naranja"",""taburetes para 4 personas"",""ajuste perfecto"",""sillas de bar"",""mostrador de la barra"",""ahorro de espacio"",""instalación sin obstáculos"",""montaje rápido"",""montaje sencillo"",""serie ALINRU"",""rincón para el desayuno""]",1a73d32e-533a-460a-928b-5aed29650d72,"
    Un juego para unidades exigentes: Una mesa de bar y 2 taburetes de bar con un acabado marrón rústico de Alta calidad - una maravillosa adición a su cocina, sala de juegos o sala de estar. El marco de hierro negro no sólo constituye un atractivo contraste con el tono de la madera, sino que también sirve como un práctico reposapiés
    ¿Desayuno para dos? La mesa alta tiene una superficie de 120 x 60 cm sobre la que se pueden colocar fácilmente rollos, fiambres y zumo de naranja recién exprimido. Pida 2 taburetes más para disfrutar de una mesa de desayuno para 4 personas
    Ajuste perfecto: Las dos sillas de bar de 40 x 30 x 65 cm encajan perfectamente debajo del mostrador de la barra, por lo que el conjunto ahorra mucho espacio, incluso si compra 2 sillas más
    Instalación sin obstáculos: La estructura simple de las sillas de bar y de la mesa de cocina, así como los tornillos del mismo tamaño, permiten un montaje rápido y sencillo
    Qué hay en la caja: Mesa de bar y 2 taburetes de bar de nuestra Serie ALINRU para acentuar tu espacio vital, instrucciones intuitivas para un Fácil montaje, y una forma de crear el rincón para el desayuno de tus sueños
"
11,Ventilador,11,10,25.47,ventilador-azul.jpeg,"[""ventilador"",""sukasa""]",cc016326-bda0-4807-bed1-ab9ec949ce7d,Ventilador de pedestal.
13,"Tv Smart 4K Toshiba 65""",10,50,990.19,https://statics.tipti.market/product-media/edd92a5c-6637-467c-94be-31d1c745afbc.jpg,"[""Procesador: MT9602EAATGC"",""Sistema Operativo: VIDAA"",""Resolución: 3840X2160"",""Brillo: 400 nit""]",b9949675-0379-41df-8df5-79cf8afb8c6f,Procesador: MT9602EAATGC - Sistema Operativo: VIDAA- Resolución: 3840X2160- Brillo: 400 nit
12,Juego de Sala Paris Turquesa Style Deco Style&Kids Deco Style&kids,11,5,1012.49,https://statics.tipti.market/product-media/f047547a-b713-4656-a368-38e92ccc1903.jpg,"[""Juego de Sala"",""Paris"",""Turquesa"",""Style"",""Deco"",""Style&kids""]",2c582a6b-37c5-4806-a2d2-ec5c2f80df4d,Juego de Sala Paris Turquesa Style Deco Style&kids
